1,21,61,,
1,65,105,,
1,138,177,,
1,180,230,,
2,21,83,,
2,115,192,,
2,195,286,,
3,44,122,,
3,142,176,,
3,178,206,,
4,19,117,,
4,136,222,,
5,,,12,104
5,,,121,238
6,8,141,,
6,160,260,,
6,268,280,,
7,,,13,97
7,,,108,234
8,,,107,191
8,,,220,325
9,18,184,,
9,210,289,,
10,43,169,,
10,194,288,,
11,,,15,96
11,,,116,182
12,6,29,,
12,48,146,,
12,155,215,,
13,,,35,228
13,,,235,255
14,31,52,,
14,64,102,,
14,123,201,,
15,21,196,,
16,,,11,200
16,,,214,255
17,8,228,,
18,14,141,,
18,154,260,,
19,17,196,,
20,5,173,,
21,18,106,,
21,116,123,,
21,137,218,,
21,223,267,,
22,27,103,,
22,117,234,,
23,,,27,134
23,,,147,313
24,,,16,93
24,,,114,223
25,,,29,147
25,,,175,247
26,,,13,142
26,,,162,251
27,,,18,145
27,,,160,237
27,,,241,309
28,29,106,,
28,120,198,,
28,202,266,,
29,16,104,,
29,119,241,,
30,,,27,51
30,,,55,105
30,,,109,133
30,,,158,256
31,6,11,,
31,24,50,,
31,60,86,,
31,90,117,,
31,121,178,,
31,186,195,,
32,,,28,74
32,,,105,172
33,15,95,,
33,105,218,,
34,,,23,98
34,,,107,248
35,24,121,,
35,142,208,,
36,,,22,90
36,,,111,202
37,31,129,,
37,153,228,,
37,237,245,,
38,,,33,114
38,,,131,218
39,12,113,,
39,132,168,,
39,172,200,,
39,204,214,,
40,15,95,,
40,113,229,,
41,,,36,89
41,,,94,125
41,,,151,205
41,,,209,273
43,,,21,285
44,,,29,135
44,,,163,271
45,,,22,90
45,,,95,164
45,,,180,261
46,8,88,,
46,96,251,,
47,,,0,26
47,53,62,,
47,72,191,,
47,212,281,,
47,318,331,,
47,337,338,,
47,342,344,,
48,,,13,85
48,,,89,162
48,,,185,243
49,15,100,,
49,129,244,,
50,19,113,,
50,125,229,,
50,,,230,233
50,239,247,,
51,,,19,36
51,,,39,97
51,,,131,250
52,,,14,74
52,,,77,217
53,28,82,,
53,115,196,,
54,30,103,,
54,123,242,,
55,72,125,,
55,130,189,,
55,199,229,,
56,3,8,,
56,12,32,,
56,55,184,,
56,200,326,,
56,331,340,,
57,,,19,123
57,,,142,256
58,16,100,,
58,107,258,,
59,,,9,197
59,,,211,288
60,,,16,134
60,,,165,278
61,40,136,,
61,172,249,,
62,,,26,117
62,,,129,249
63,,,26,202
63,,,214,251
64,26,97,,
64,115,188,,
64,193,240,,
65,20,112,,
65,142,291,,
66,23,106,,
66,116,180,,
66,197,240,,
67,18,24,,
67,28,170,,
67,182,294,,
68,,,22,108
68,,,125,273
68,182,189,,
68,204,273,,
68,196,199,,
69,16,90,,
69,102,230,,
69,,,222,238
70,17,174,,
70,190,260,,
71,26,105,,
71,133,201,,
72,41,117,,
72,134,252,,
73,,,61,130
73,,,87,201
73,,,208,253
74,,,10,97
74,,,114,272
75,28,113,,
75,140,203,,
75,209,252,,
76,0,26,,
76,49,78,,
76,82,140,,
76,148,205,,
76,222,287,,
77,14,159,,
77,175,206,,
78,,,19,99
78,,,105,215
78,,,248,284
79,14,114,,
79,146,265,,
80,13,94,,
80,107,157,,
80,173,256,,
81,0,18,,
81,,,19,94
81,,,133,247
82,22,41,,
82,44,114,,
82,121,198,,
83,,,14,91
83,,,120,230
84,17,115,,
84,125,206,,
84,233,295,,
85,17,102,,
85,114,248,,
86,,,23,269
87,,,32,50
87,,,54,98
87,,,111,190
88,17,83,,
88,93,163,,
88,177,201,,
89,32,40,,
89,49,145,,
89,153,273,,
90,,,30,115
90,,,138,280
91,13,109,,
91,135,195,,
92,10,91,,
92,128,261,,
93,,,36,117
93,,,125,141
93,,,147,260
93,,,267,273
94,,,26,117
94,,,159,253
94,,,257,258
94,,,265,270
95,,,9,100
95,,,107,272
96,2,6,,
96,20,82,,
96,98,146,,
96,167,193,,
96,198,230,,
96,,,220,235
97,17,130,,
97,145,229,,
97,239,276,,
97,280,284,,
98,,,15,19
98,,,25,128
98,,,144,297
99,,,21,200
99,,,206,246
100,,,36,146
100,,,174,257
